company_name,job_title,city,company_location,salary,snippet
"RightRez, Inc.",Full Stack Software Engineer,Remote,Remote,"$100,000 - $130,000 a year","Experience building scalable, performant, secure, and reliable cloud-native systems.Plan, design, develop, test and deploy distributed software applications…"
Baylor College of Medicine,Software Engineering and Programming Specialist,Houston, TX 77030 (Medical Center area),,Develops and implements code to realize system design for software applications including web-based database applications and related software applications.
"Foundation Medicine, Inc.",Software Engineer III,Boston, MA 02210 (South Boston area),,"Maintain efforts for product or platform to be resilient, cloud-native, secure, and scalable.Bachelor’s Degree and 4+ years of software engineering experience;…"
"Epson America, Inc",Software Engineer - Remote,Los Alamitos, CA,,"Integrate Epson source code with open source software, and software produced by both Epson affiliates and third party companies."
Microsoft,Principal Software Engineer,New York, NY,,"At least 6+ years of experience shipping or running production systems and/or software, including complex production systems that run on a public cloud."
"The Computer Place, Inc.",Senior Systems Engineer,Lewiston, ME,"$65,000 a year","Other critical skills include: Office 365 administration, working knowledge of antivirus software, Microsoft Office, backup software, remote monitoring and…"
Upwork,Mobile Software Engineer (Android),San Diego, CA 92101,,"Experience with software toolkit design and implementation.As a Mobile Developer, you will be responsible for developing software on both Mobile and Wearable…"
Barn2Door,Senior Software Engineer/Developer,Seattle, WA 98103 (Wallingford area),"$105,000 - $165,000 a year","A real passion for solving complex software engineering puzzles in a dynamic environment.Deep understanding of software design principles, algorithms, data…"
QualTel Communications,Data Analytics Engineer,Los Angeles, CA,"$82,379 - $206,512 a year","Develop a point of view on key global trends, and how they impact clients.Analyse complex ideas or proposals and build a range of meaningful recommendations."
"Electro Optical Industries, Inc.",Computer Software Engineer,Santa Barbara, CA 93117,,"Define the software architecture for new product developments.This position is located in Goleta, CA and will be responsible for developing firmware and…"
Avtex,Associate Consultant - Application Developer (Federal),Remote,Remote,,Paid time off and paid holidays.Our Consultants deliver solutions using Microsoft technologies and experience the complete project lifecycle using Agile…
SAP,Software Developer - SuccessFactors,Palo Alto, CA 94304,,"Frameworks and platform built with cutting edge technologies, which can be customized to customer’s extreme needs.Experience with Spring Hibernate and PL/SQL."
DIRECTV,Customer Service Representative - Tech Support,Missoula, MT 59801 (Franklin To The Fort area),$15.43 - $18.00 an hour,Your success will be dependent on how effective you are at transforming a frustrated exchange into an excellent customer experience.
First Security Bank,Full Time Software Developer,Searcy, AR 72143,"From $50,000 a year",The Software Developer will be responsible for coding and support of web and PC based applications as well as database development and administration.
Deloitte,"Senior Software Engineer - .NET Core, Azure",Dallas, TX 75201 (Downtown area),,"Designs reliable, scalable, and performant end-to-end architectures – functional, data, technology, infrastructure.Create Web UI applications using angular."
All Points Logistics,Software Engineer III - Flight Software,Huntsville, AL 35805,,This is a staff to hire position in support of Lockheed Martin’s Strategic & Missile Defense Systems Division.BS Engineering from an ABET accredited school.
Deloitte,DevOps Engineer,Tampa, FL 33602 (Downtown area),,"The pipeline will include: the automated build process, environment setups, testing scripts, deployments, and production operational metrics/debugging…"
Deloitte,Global IAM Active Directory Engineer,Miami, FL 33131 (Downtown area),,"Strong Windows server 2016 administration.Strong knowledge of Windows 2016 Active Directory design and administration, including monitoring, troubleshooting…"
